2026-04-10 13:44:32 | INFO     | middleware | -> POST /auth/login
2026-04-10 13:44:32 | WARNING  | auth | Failed login attempt for: string
2026-04-10 13:44:32 | WARNING  | middleware | [WARN] POST /auth/login - 401 (0.17s)
2026-04-10 13:46:39 | INFO     | main | Orchestration service started
2026-04-10 13:46:47 | INFO     | middleware | -> GET /docs
2026-04-10 13:46:47 | INFO     | middleware | [OK] GET /docs - 200 (0.00s)
2026-04-10 13:46:47 | INFO     | middleware | -> GET /openapi.json
2026-04-10 13:46:47 | INFO     | middleware | [OK] GET /openapi.json - 200 (0.01s)
2026-04-10 13:46:54 | INFO     | middleware | -> POST /auth/login
2026-04-10 13:46:54 | WARNING  | auth | Failed login attempt for: string
2026-04-10 13:46:54 | WARNING  | middleware | [WARN] POST /auth/login - 401 (0.18s)
2026-04-10 13:46:59 | INFO     | middleware | -> POST /auth/login
2026-04-10 13:46:59 | WARNING  | auth | Failed login attempt for: string
2026-04-10 13:46:59 | WARNING  | middleware | [WARN] POST /auth/login - 401 (0.17s)
2026-04-10 13:46:59 | INFO     | middleware | -> POST /auth/login
2026-04-10 13:46:59 | WARNING  | auth | Failed login attempt for: string
2026-04-10 13:46:59 | WARNING  | middleware | [WARN] POST /auth/login - 401 (0.17s)
2026-04-10 13:46:59 | INFO     | middleware | -> POST /auth/login
2026-04-10 13:46:59 | WARNING  | auth | Failed login attempt for: string
2026-04-10 13:46:59 | WARNING  | middleware | [WARN] POST /auth/login - 401 (0.17s)
2026-04-10 13:46:59 | INFO     | middleware | -> POST /auth/login
2026-04-10 13:47:00 | WARNING  | auth | Failed login attempt for: string
2026-04-10 13:47:00 | WARNING  | middleware | [WARN] POST /auth/login - 401 (0.17s)
2026-04-10 13:47:00 | INFO     | middleware | -> POST /auth/login
2026-04-10 13:47:00 | WARNING  | auth | Failed login attempt for: string
2026-04-10 13:47:00 | WARNING  | middleware | [WARN] POST /auth/login - 401 (0.17s)
2026-04-10 13:47:00 | INFO     | middleware | -> POST /auth/login
2026-04-10 13:47:00 | WARNING  | auth | Failed login attempt for: string
